Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.59     0.00   251074     0.00     0.00  std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_Alloc_node::_Alloc_node(std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >&)
  0.00      0.59     0.00   248284     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::_M_begin()
  0.00      0.59     0.00   246285     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > const&, std::_Rb_tree_iterator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > const&)
  0.00      0.59     0.00   245036     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::end()
  0.00      0.59     0.00   244287     0.00     0.00  std::map<int, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::end()
  0.00      0.59     0.00   244287     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > >, std::_Select1st<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > >*, std::_Rb_tree_node_base*, int const&)
  0.00      0.59     0.00   243538     0.00     0.00  std::map<int, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::lower_bound(int const&)
  0.00      0.59     0.00   242313     0.00     0.00  std::_Rb_tree_const_iterator<Edge*>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<Edge*> const&)
  0.00      0.59     0.00   242313     0.00     0.00  std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> >::insert(Edge* const&)
  0.00      0.59     0.00   242313     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<Edge*>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<Edge*>*&, std::_Rb_tree_node_base*&)
  0.00      0.59     0.00   242313     0.00     0.00  std::pair<std::_Rb_tree_iterator<Edge*>, bool>::pair<std::_Rb_tree_iterator<Edge*>, bool, true>(std::_Rb_tree_iterator<Edge*>&&, bool&&)
  0.00      0.59     0.00   242313     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<Edge*>, bool>::pair<std::_Rb_tree_iterator<Edge*>&, bool&, true>(std::_Rb_tree_iterator<Edge*>&, bool&)
  0.00      0.59     0.00   242313     0.00     0.00  std::pair<std::_Rb_tree_iterator<Edge*>, bool> std::_Rb_tree<Edge*, Edge*, std::_Identity<Edge*>, std::less<Edge*>, std::allocator<Edge*> >::_M_insert_unique<Edge* const&>(Edge* const&)
  0.00      0.59     0.00   242313     0.00     0.00  std::_Rb_tree_node<Edge*>*& std::forward<std::_Rb_tree_node<Edge*>*&>(std::remove_reference<std::_Rb_tree_node<Edge*>*&>::type&)
  0.00      0.59     0.00   242313     0.00     0.00  std::_Rb_tree_iterator<Edge*>& std::forward<std::_Rb_tree_iterator<Edge*>&>(std::remove_reference<std::_Rb_tree_iterator<Edge*>&>::type&)
  0.00      0.59     0.00   242313     0.00     0.00  std::_Rb_tree_iterator<Edge*>&& std::forward<std::_Rb_tree_iterator<Edge*> >(std::remove_reference<std::_Rb_tree_iterator<Edge*> >::type&)
  0.00      0.59     0.00   240482     0.00     0.00  std::map<int, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> >, std::less<int>, std::allocator<std::pair<int const, std::set<Edge*, std::less<Edge*>, std::allocator<Edge*> > > > >::key_comp() const
